word,meaning,origin_era,category,2026_status
Bed Rotting,Spending all day in bed as a form of self-care or burnout recovery,2023,Lifestyle,Peak
Beige Flag,A trait that isn't good or bad but is just 'weird' or boring,2023,Gen Z,Mainstream
Side-eye,A look of judgment or disapproval,2022,Internet,Mainstream
Hard Pass,A definitive and strong refusal,2010s,Business/Slang,Standard
Serving,Delivering a look or performance exceptionally well,2010s,Ballroom/AAVE,Mainstream
Ate,Did something extremely well ("You ate that"),2020s,AAVE/Gen Z,Mainstream
Glazing,Over-praising someone to the point of being annoying,2023,Gaming,Peak
Mogging,Being physically superior or outshining others in a room,2024,Looksmaxxing,Peak
Bop,A really good song (also used as an insult in some circles),2010s,Music/Gen Z,Mainstream
Caught in 4k,Caught red-handed with high-definition digital proof,2020,Digital,Mainstream
Zang,A modern "remix" of the word 'dang',2025,Gen Alpha,Niche
Huzz,Slang for 'hoes' (often used by teenage boys),2024,Gen Alpha,Niche
Gigglemug,Someone who is always smiling or looking happy,1800s,Victorian UK,Dead
Afternoonified,A posh or "high class" way of describing something,1880s,Victorian UK,Dead
Got the Morbs,Feeling temporarily sad or morbid,1880s,Victorian UK,Niche (Reviving)
Nanty Narking,Having a lot of fun (sometimes too much),1800s,Victorian UK,Dead
Skilamalink,Underhanded or dishonest behavior,1800s,Victorian UK,Dead
Absquatulate,To leave or disappear abruptly,1830s,American,Dead
Flummadiddle,Pretentious or worthless nonsense,1840s,American,Dead
Giggle Water,Alcoholic beverages (specifically during prohibition),1920s,Historical,Legacy
Mooncalf,A foolish or absent-minded person,1600s,Historical,Dead
Zounds,An exclamation of surprise (short for "God's Wounds"),1600s,Historical,Dead
Rapscallion,A mischievous or rascal-like person,1600s,Historical,Legacy
Shackbaggerly,Messy or disorderly (Midlands UK),1800s,UK Regional,Dead
Uglyography,Poor handwriting combined with bad spelling,1800s,Historical,Niche
Cattywampus,Something that is askew or wonky,1830s,American,Standard
Humbuggery,Deceptive behavior or nonsense,1700s,Historical,Standard
Taradiddle,Pretentious nonsense or a small lie,1700s,Historical,Dead
Blotto,Extremely drunk,1910s,Historical,Mainstream
Dead Soldier,An empty beer bottle,1900s,Historical,Legacy
Wisenheimer,A "smart aleck" or someone who thinks they are too clever,1900s,Historical,Cringe
Hawkshaw,A detective or investigator,1900s,Historical,Dead
Duck Soup,Something very easy to do,1920s,Historical,Cringe
Glad Rags,Your best "going out" clothes,1900s,Historical,Legacy
Hoosegow,A term for jail or prison,1900s,Historical,Legacy
